                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.86544,                0.71826,                 1.0816,                0.70726,                0.76856,                0.81334,                0.59986,                0.79225,                0.63128,                 1.0184,              0.0096634,              0.0096634,              0.0096634
                     36,                0.86018,                0.71207,                 1.0815,                0.75649,                0.75457,                0.80512,                 0.5959,                0.76642,                0.60572,                 1.0101,              0.0096535,              0.0096535,              0.0096535
                     37,                0.85626,                0.70509,                   1.08,                 0.7476,                0.74104,                0.80637,                0.61011,                0.79803,                0.62337,                  1.016,              0.0096436,              0.0096436,              0.0096436
                     38,                0.85848,                0.71083,                 1.0776,                0.68289,                0.71168,                0.78947,                0.57739,                0.80691,                0.63954,                 1.0216,              0.0096337,              0.0096337,              0.0096337
                     39,                0.85326,                0.70539,                 1.0741,                 0.7769,                0.73231,                0.81079,                0.60798,                0.75273,                0.60538,                0.99847,              0.0096238,              0.0096238,              0.0096238
                     40,                0.85561,                0.70783,                 1.0752,                0.71379,                0.76707,                0.81001,                0.59874,                0.77495,                0.62453,                 1.0097,              0.0096139,              0.0096139,              0.0096139
                     41,                 0.8473,                0.69565,                  1.072,                0.74165,                0.73616,                 0.8171,                0.60979,                0.78291,                0.62791,                   1.01,               0.009604,               0.009604,               0.009604
                     42,                0.84817,                0.69346,                  1.072,                0.73098,                0.74249,                0.80503,                0.58582,                0.76458,                0.60465,                0.99934,              0.0095941,              0.0095941,              0.0095941
                     43,                0.84454,                 0.6935,                 1.0721,                 0.7437,                0.71162,                0.79791,                0.57971,                0.79182,                 0.6216,                 1.0209,              0.0095842,              0.0095842,              0.0095842
                     44,                0.84237,                0.69537,                 1.0688,                0.74311,                0.72538,                0.79032,                0.57631,                0.76025,                 0.6081,                 1.0009,              0.0095743,              0.0095743,              0.0095743
                     45,                0.83938,                0.68563,                 1.0661,                0.73941,                 0.7275,                0.82512,                0.61542,                0.75006,                0.59422,                 0.9986,              0.0095644,              0.0095644,              0.0095644
                     46,                0.83809,                0.68632,                 1.0721,                0.76005,                0.75409,                0.83408,                0.60945,                0.75644,                0.59668,                  1.002,              0.0095545,              0.0095545,              0.0095545
                     47,                  0.836,                0.68038,                 1.0708,                0.69216,                0.75122,                0.80974,                0.59962,                0.75569,                 0.5906,                0.99874,              0.0095446,              0.0095446,              0.0095446
                     48,                0.83214,                0.67799,                 1.0643,                0.68911,                0.80341,                0.80718,                0.58255,                0.77586,                0.60458,                 1.0152,              0.0095347,              0.0095347,              0.0095347
                     49,                0.83047,                0.67309,                 1.0625,                0.73436,                0.76201,                0.80045,                0.59151,                0.75592,                0.60615,                  1.002,              0.0095248,              0.0095248,              0.0095248
                     50,                0.83168,                0.67706,                 1.0649,                0.75073,                0.70566,                0.80395,                0.57996,                0.75847,                0.59876,                 1.0029,              0.0095149,              0.0095149,              0.0095149
                     51,                0.83254,                0.67679,                 1.0635,                0.80946,                0.66991,                0.79283,                0.58091,                0.76215,                 0.5925,                 1.0045,               0.009505,               0.009505,               0.009505
                     52,                0.82089,                0.66778,                 1.0568,                0.70251,                0.80885,                0.81869,                0.61181,                0.76938,                0.59887,                 1.0091,              0.0094951,              0.0094951,              0.0094951
                     53,                0.82345,                 0.6661,                 1.0607,                0.70741,                0.73313,                0.81012,                0.60631,                0.74854,                0.58543,                 1.0001,              0.0094852,              0.0094852,              0.0094852
                     54,                0.82538,                0.66809,                 1.0608,                0.81339,                 0.6858,                0.79786,                0.57857,                0.76404,                0.60314,                 1.0069,              0.0094753,              0.0094753,              0.0094753
                     55,                 0.8177,                 0.6586,                  1.052,                0.79364,                 0.7197,                0.81667,                0.61631,                0.75443,                0.58964,                0.99561,              0.0094654,              0.0094654,              0.0094654
                     56,                0.81631,                0.66162,                 1.0552,                0.70289,                0.77521,                0.82101,                0.61866,                  0.748,                0.57912,                0.99888,              0.0094555,              0.0094555,              0.0094555
                     57,                 0.8211,                0.66006,                  1.058,                0.74388,                0.78963,                0.81693,                0.60456,                0.75747,                0.59253,                 1.0062,              0.0094456,              0.0094456,              0.0094456
                     58,                 0.8191,                0.65546,                 1.0564,                0.70776,                0.74752,                0.80574,                0.59091,                 0.7438,                 0.5781,                0.99528,              0.0094357,              0.0094357,              0.0094357
                     59,                 0.8165,                0.65924,                 1.0557,                0.78571,                0.69265,                0.80029,                0.60183,                0.73422,                0.57692,                0.98847,              0.0094258,              0.0094258,              0.0094258
                     60,                0.81107,                0.64843,                 1.0502,                0.67066,                0.80166,                0.78258,                0.59725,                0.74551,                0.58991,                0.99432,              0.0094159,              0.0094159,              0.0094159
                     61,                0.81721,                0.65539,                 1.0552,                0.77458,                0.68903,                0.80122,                0.61173,                0.73596,                0.57354,                0.98477,               0.009406,               0.009406,               0.009406
                     62,                0.81585,                0.65227,                 1.0557,                0.78829,                0.72918,                0.81301,                0.60941,                0.73323,                0.56874,                0.98375,              0.0093961,              0.0093961,              0.0093961
                     63,                 0.8074,                0.65362,                 1.0487,                0.74405,                0.71288,                0.80252,                0.60611,                0.73594,                 0.5765,                0.98862,              0.0093862,              0.0093862,              0.0093862
                     64,                0.80572,                0.64945,                 1.0478,                 0.7837,                0.71828,                0.80959,                0.60893,                0.74404,                0.58432,                0.99265,              0.0093763,              0.0093763,              0.0093763
                     65,                 0.8031,                0.64177,                 1.0478,                0.81425,                0.69942,                0.81552,                0.61174,                0.73365,                0.56647,                0.98796,              0.0093664,              0.0093664,              0.0093664
                     66,                0.80118,                0.64147,                 1.0495,                0.67386,                0.77913,                0.81009,                0.60277,                0.73842,                0.57437,                0.98965,              0.0093565,              0.0093565,              0.0093565
                     67,                0.80055,                0.64158,                 1.0459,                0.72026,                0.74639,                0.80261,                0.60071,                0.74619,                0.57847,                  0.996,              0.0093466,              0.0093466,              0.0093466
                     68,                0.80205,                0.63842,                 1.0463,                0.67524,                0.74615,                0.78963,                0.59547,                0.74076,                 0.5743,                0.99427,              0.0093367,              0.0093367,              0.0093367
                     69,                0.79669,                0.63619,                 1.0459,                0.70792,                 0.7509,                0.80047,                 0.6049,                0.73765,                0.58144,                0.99237,              0.0093268,              0.0093268,              0.0093268
                     70,                0.79846,                0.63537,                 1.0409,                0.67438,                0.76036,                0.80219,                0.60792,                0.73652,                0.57458,                0.98843,              0.0093169,              0.0093169,              0.0093169
                     71,                0.79264,                0.63229,                 1.0427,                0.74213,                0.77313,                0.81903,                0.62494,                0.73018,                0.57413,                0.98627,               0.009307,               0.009307,               0.009307
                     72,                0.79861,                0.63455,                 1.0453,                 0.7636,                0.76482,                0.82366,                0.63002,                0.73233,                 0.5723,                0.98987,              0.0092971,              0.0092971,              0.0092971
                     73,                0.79045,                0.63226,                 1.0401,                 0.7754,                0.76538,                0.82151,                0.61977,                0.73203,                0.56793,                0.99106,              0.0092872,              0.0092872,              0.0092872
                     74,                0.79227,                0.63477,                 1.0427,                0.73199,                0.74205,                0.81566,                0.61753,                0.73273,                0.56683,                0.99383,              0.0092773,              0.0092773,              0.0092773
                     75,                0.79224,                0.63175,                 1.0435,                0.73968,                0.76261,                0.81696,                0.61727,                0.73262,                0.56416,                0.99475,              0.0092674,              0.0092674,              0.0092674
                     76,                0.79483,                0.62904,                  1.042,                0.72692,                0.73441,                0.80847,                0.61341,                0.73104,                0.56752,                0.99303,              0.0092575,              0.0092575,              0.0092575
                     77,                0.78969,                0.62891,                 1.0386,                 0.7316,                0.71479,                0.80242,                0.61173,                0.73286,                0.56776,                0.99252,              0.0092476,              0.0092476,              0.0092476
                     78,                0.78582,                0.62653,                 1.0419,                0.75324,                0.70287,                0.80408,                0.61713,                0.72854,                0.57095,                0.98735,              0.0092377,              0.0092377,              0.0092377
                     79,                0.78589,                0.62254,                 1.0406,                0.71555,                 0.7263,                0.80384,                0.60902,                 0.7278,                0.56853,                0.98626,              0.0092278,              0.0092278,              0.0092278
                     80,                0.78538,                0.62004,                 1.0362,                0.75595,                0.72114,                 0.8122,                0.61147,                0.72943,                0.56738,                0.98649,              0.0092179,              0.0092179,              0.0092179
                     81,                0.78316,                0.62358,                 1.0389,                0.77998,                0.69447,                0.80898,                0.60929,                0.73184,                0.56846,                0.98812,               0.009208,               0.009208,               0.009208
                     82,                0.78401,                0.61791,                 1.0365,                0.76701,                0.71397,                0.81302,                0.61321,                0.72909,                0.56604,                0.98641,              0.0091981,              0.0091981,              0.0091981
                     83,                0.78493,                0.61994,                 1.0376,                0.76516,                0.72956,                0.81992,                0.61367,                0.72682,                0.56246,                0.98548,              0.0091882,              0.0091882,              0.0091882
                     84,                0.77794,                0.61796,                 1.0326,                0.76741,                0.73571,                0.81607,                 0.6113,                0.72858,                0.56549,                0.98655,              0.0091783,              0.0091783,              0.0091783
                     85,                0.78017,                 0.6142,                 1.0336,                0.70507,                0.79081,                0.81961,                0.61982,                0.72724,                0.56466,                  0.987,              0.0091684,              0.0091684,              0.0091684
