                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    156,                 0.7293,                0.54952,                 1.0061,                 0.7517,                0.71551,                0.81007,                0.61303,                0.72251,                0.56718,                0.98624,              0.0084655,              0.0084655,              0.0084655
                    157,                0.73375,                0.55663,                 1.0109,                0.75426,                0.71569,                0.80923,                0.61369,                0.72241,                0.56676,                 0.9861,              0.0084556,              0.0084556,              0.0084556
                    158,                 0.7285,                0.55215,                  1.003,                0.75511,                0.71665,                0.81006,                 0.6137,                0.72267,                0.56723,                  0.986,              0.0084457,              0.0084457,              0.0084457
                    159,                0.72833,                0.55575,                  1.006,                0.75599,                0.71706,                0.80971,                0.61376,                0.72269,                 0.5672,                0.98609,              0.0084358,              0.0084358,              0.0084358
                    160,                0.73207,                0.55364,                 1.0071,                0.75642,                0.71804,                0.81024,                0.61525,                0.72223,                0.56706,                0.98588,              0.0084259,              0.0084259,              0.0084259
                    161,                0.73016,                 0.5543,                  1.003,                0.76023,                0.71597,                0.81003,                0.61519,                0.72185,                0.56679,                0.98562,               0.008416,               0.008416,               0.008416
                    162,                0.73294,                 0.5585,                 1.0088,                0.75959,                0.71879,                0.81049,                0.61564,                0.72173,                0.56678,                0.98572,              0.0084061,              0.0084061,              0.0084061
                    163,                0.72817,                0.55464,                  1.007,                0.76144,                0.71801,                0.81058,                0.61574,                0.72216,                0.56667,                0.98589,              0.0083962,              0.0083962,              0.0083962
                    164,                0.72606,                0.54962,                 1.0017,                0.76581,                0.71623,                0.81141,                0.61595,                0.72213,                 0.5672,                0.98582,              0.0083863,              0.0083863,              0.0083863
                    165,                0.72941,                0.55486,                 1.0074,                0.75696,                0.72476,                0.81262,                0.61773,                0.72244,                0.56695,                0.98582,              0.0083764,              0.0083764,              0.0083764
                    166,                 0.7283,                0.55243,                 1.0037,                0.75559,                0.72553,                0.81245,                 0.6177,                0.72239,                0.56728,                0.98579,              0.0083665,              0.0083665,              0.0083665
                    167,                0.72543,                0.54971,                 1.0081,                0.75426,                0.72545,                0.81249,                0.61594,                0.72278,                0.56754,                0.98604,              0.0083566,              0.0083566,              0.0083566
                    168,                0.72557,                0.54444,                0.99792,                0.74723,                0.72704,                0.81124,                0.61543,                0.72291,                 0.5676,                0.98608,              0.0083467,              0.0083467,              0.0083467
                    169,                0.72628,                0.54749,                 1.0034,                0.74509,                0.72822,                0.81155,                0.61626,                0.72357,                0.56815,                0.98628,              0.0083368,              0.0083368,              0.0083368
                    170,                0.72409,                 0.5475,                 1.0042,                0.74519,                0.72787,                0.81153,                0.61723,                0.72338,                0.56844,                0.98609,              0.0083269,              0.0083269,              0.0083269
                    171,                0.72253,                0.55129,                 1.0034,                 0.7466,                0.73362,                0.81151,                0.61625,                0.72386,                0.56917,                0.98625,               0.008317,               0.008317,               0.008317
                    172,                0.72868,                0.55663,                 1.0049,                 0.7461,                0.73947,                0.81153,                0.61756,                0.72429,                 0.5699,                0.98656,              0.0083071,              0.0083071,              0.0083071
